id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
701230,Authentic Bright Artist's Loft,3587917,Darby,,High Park North,43.65873,-79.45336,Entire home/apt,100,28,15,2018-07-31,0.13,1,0,0,
40456,Downtown- King Size Bed and Parking,174063,Denis,,South Parkdale,43.63539,-79.4401,Entire home/apt,150,31,114,2022-01-29,0.74,4,313,0,
1419,Beautiful home in amazing area!,1565,Alexandra,,Little Portugal,43.6459,-79.42423,Entire home/apt,469,28,7,2017-12-04,0.08,1,0,0,
8077,Downtown Harbourfront Private Room,22795,Kathie & Larry,,Waterfront Communities-The Island,43.6408,-79.37673,Private room,104,180,169,2013-08-27,1.02,2,365,0,
26654,World Class downtown @CN Tower Theatre MTCC games!,113345,Adela,,Waterfront Communities-The Island,43.64608,-79.39032,Entire home/apt,145,28,41,2021-01-31,0.28,3,221,0,
702286,Beautiful Garden Apt With Porches,3604846,Wies,,High Park-Swansea,43.65374,-79.45359,Entire home/apt,142,28,19,2022-08-06,0.15,4,224,1,
27423,Executive Studio Unit- Ideal for One Person,118124,Brent,,South Riverdale,43.66884,-79.32725,Entire home/apt,45,90,27,2022-12-25,0.17,1,188,1,
30931,Downtown Toronto - Waterview Condo,22795,Kathie & Larry,,Waterfront Communities-The Island,43.64015,-79.37625,Entire home/apt,138,180,1,2010-08-11,0.01,2,365,0,
40701,"Bright Beaches Apt, close to everything",175687,John,,The Beaches,43.67239,-79.28858,Entire home/apt,90,28,4,2022-10-01,0.03,1,38,2,
42892,Downtown 3 Beds 2 Baths @ Union & Harbourfront,187320,Downtown Suite Living,,Waterfront Communities-The Island,43.6445,-79.38019,Entire home/apt,150,119,0,,,7,121,0,
703124,Beautiful large 3 bdrm in High Park Roncesvalles,3604846,Wies,,High Park-Swansea,43.65329,-79.45257,Entire home/apt,185,28,23,2021-11-01,0.21,4,283,0,
703133,2 BDRM 2000SF Executive Suite,3604846,Wies,,High Park-Swansea,43.65563,-79.45259,Entire home/apt,170,30,4,2019-04-20,0.03,4,283,0,
43964,Two bedrm basement apt private entry free parking,192364,Mitra,,Wexford/Maryvale,43.74922,-79.29188,Entire home/apt,160,2,54,2022-12-31,0.72,1,352,19,STR-2012-FMQPHC
1196880,Happy Downtown Lower Penthouse,6539250,Jennifer,,Niagara,43.64175,-79.41108,Entire home/apt,83,90,11,2019-04-25,0.12,1,303,0,
728817,Bright Victorian Home in Roncesvalles Village,3783106,Jeremy And Monica,,Roncesvalles,43.64147,-79.44633,Entire home/apt,485,5,12,2022-08-07,0.10,1,89,3,STR-2012-HGVHHJ
755263,Furnished Downtown Studio Suite 3,304551,Kintoo,,University,43.66229,-79.40904,Private room,60,60,2,2022-08-20,0.02,8,343,1,
1202446,Peaceful room @ King/Spadina,2929374,Brahm,,Waterfront Communities-The Island,43.64482,-79.39416,Private room,91,28,84,2023-02-22,0.71,3,6,22,STR-2012-HTGBHL
44452,Yonge & Bloor Studio Skyline,195095,Urbano,,Rosedale-Moore Park,43.67193,-79.3859,Entire home/apt,126,28,65,2022-12-07,0.43,13,365,4,
44469,Yonge & Bloor 2 Bedroom Apartment,195095,Urbano,,Rosedale-Moore Park,43.67129,-79.38634,Private room,79,28,8,2017-08-27,0.06,13,252,0,
45399,Fountain View Studio - Eaton center,195095,Urbano,,Bay Street Corridor,43.66123,-79.38336,Entire home/apt,140,28,83,2022-08-21,0.55,13,283,3,
45453,Yonge & Bloor 2 Bedroom Master,195095,Urbano,,Rosedale-Moore Park,43.67128,-79.38422,Private room,105,28,9,2018-09-02,0.06,13,252,0,
45893,Yonge & Bloor Lakeview Master BR,195095,Urbano,,Rosedale-Moore Park,43.6718,-79.38488,Private room,90,28,20,2022-12-24,0.13,13,365,1,
50110,Yorkville one bedroom Condo,195095,Urbano,,Church-Yonge Corridor,43.66899,-79.38559,Entire home/apt,150,28,58,2022-07-03,0.39,13,160,1,
756619,Winchester Suite /  Large Modern Bedroom Downtown,3982898,Andrew,,Cabbagetown-South St.James Town,43.664642,-79.371208,Private room,96,3,74,2022-12-26,0.63,3,107,18,STR-2010-HLLXPK
51616,Large room in trendy King Street West.,237587,John,,Niagara,43.64296,-79.40451,Private room,55,91,24,2018-11-11,0.30,1,0,0,
64635,Furnished Heritage Rooms Downtown 2,304551,Kintoo,,Niagara,43.64482,-79.40897,Private room,45,90,15,2022-12-24,0.11,8,319,4,
64641,Furnished Heritage Rooms Downtown,304551,Kintoo,,Niagara,43.64453,-79.40736,Private room,45,90,20,2022-12-23,0.13,8,220,2,
64645,Furnished Heritage Suite Downtown,304551,Kintoo,,Niagara,43.64475,-79.40905,Private room,60,30,12,2020-10-31,0.08,8,343,0,
66856,Furnished Heritage Room Downtown 6,304551,Kintoo,,Niagara,43.64642,-79.40736,Private room,40,60,1,2011-02-10,0.01,8,344,0,
71118,Furnished Downtown Loft Suite,304551,Kintoo,,Niagara,43.64605,-79.4069,Private room,60,30,12,2022-07-11,0.08,8,252,1,
84151,North City View DT Apartment,195095,Urbano,,Rosedale-Moore Park,43.67138,-79.38424,Entire home/apt,160,30,24,2021-11-21,0.17,13,253,0,
112842,Gorgeous Condo near High Park!!,575127,Micheline,,High Park North,43.65703,-79.46719,Entire home/apt,66,120,12,2017-03-05,0.09,1,292,0,
113175,Best luxury location in downtown Toronto!,576192,Faria,,Waterfront Communities-The Island,43.63987,-79.39523,Entire home/apt,105,30,39,2021-04-04,0.27,1,191,0,
119441,STYLISH  LAKEVIEW / KING SIZE BED/DOWNTOWN+PARKING,174063,Denis,,South Parkdale,43.63737,-79.44022,Entire home/apt,128,31,80,2022-10-31,0.56,4,104,1,
1209935,Downtown Apt  Historic Cabbagetown,195472241,Vesta,,Cabbagetown-South St.James Town,43.66483,-79.36945,Entire home/apt,214,28,52,2022-12-11,0.50,1,365,29,STR-2012-HJKVHK
1214297,Beautiful Lower level/ Basement Apt - 2 bedroom,3604846,Wies,,High Park-Swansea,43.65305,-79.45495,Entire home/apt,142,30,20,2019-06-20,0.18,4,268,0,
762143,Hidden lakeview oasis downtown,4017316,Patricia,,Waterfront Communities-The Island,43.63708,-79.39198,Entire home/apt,130,180,6,2017-06-03,0.06,1,283,0,
1221275,Great 2-BR Condo in Downtown Toronto,785826,Sky View,,Waterfront Communities-The Island,43.64184,-79.38173,Entire home/apt,150,28,5,2022-09-25,0.04,141,83,2,
131401,WATERFRONT LUXURY SUITE - DOWNTOWN,604233,WaterfrontExecSuites,,Niagara,43.63743,-79.40104,Entire home/apt,73,95,11,2022-05-01,0.12,1,107,1,
762472,Amazing Loft for rent downtown T.O.,4019741,Peter,,Moss Park,43.65036,-79.36823,Entire home/apt,139,28,0,,,1,0,0,
1221280,"1 bed + Office, Balcony, Close to Subway, Downtown",6662193,Prity,,Bay Street Corridor,43.65014,-79.38669,Entire home/apt,104,30,12,2022-08-29,0.10,1,194,1,
771141,Studio Loft/Walk to Eaton Center,4068231,Margaret,,Moss Park,43.65802,-79.37108,Entire home/apt,79,31,31,2023-01-15,0.26,3,284,4,
1223097,"Colourful Apartment, Creative Space",6671740,Steven,,Annex,43.6695,-79.40656,Entire home/apt,86,28,131,2019-07-21,1.27,1,40,0,
1242683,Beautiful spacious west end house,6773217,Alexa,,South Riverdale,43.65204,-79.34655,Entire home/apt,200,7,35,2022-08-26,0.37,1,56,3,STR-2012-HZHDVM
774352,Ultimate Yorkville Luxury,4085292,Sky Suites,,Bay Street Corridor,43.66896,-79.38671,Entire home/apt,189,28,70,2022-04-15,0.72,3,24,1,
1254468,Oasis in Art Area of Queen West.,3406595,Inger,,Trinity-Bellwoods,43.64814,-79.4177,Private room,144,3,117,2022-12-30,1.26,2,76,22,STR-2203-HRPVHL
179578,Furnished 1+1 bed Condo Apartment,545074,Sohail,,Woburn,43.78196,-79.24634,Entire home/apt,80,28,0,,,2,0,0,
777132,Nice view in uptown Toronto!,1664833,Romain-Francois,,Don Valley Village,43.77659,-79.35056,Private room,55,1,193,2023-02-20,1.57,1,37,25,STR-2205-GPSKVG
184784,2 bd Apt at Yonge & Bloor Yorkville,656777,Pere,,Church-Yonge Corridor,43.67005,-79.38372,Entire home/apt,219,180,62,2020-04-04,0.44,1,313,0,
192335,Studio Loft- 2 flr- Liberty Village,140602,Mario,,South Parkdale,43.63677,-79.42099,Entire home/apt,92,28,55,2020-03-02,0.40,1,0,0,
1260644,Large Victorian Home: Cabagetown,6865871,Matthew,,Moss Park,43.65784,-79.36819,Entire home/apt,300,28,0,,,1,0,0,
1269925,$ Ultimate House -Location Location,6911938,Roozbeh,,Parkwoods-Donalda,43.75524,-79.33521,Entire home/apt,329,28,42,2022-12-22,0.40,1,311,13,STR-2103-FWRXVD
1279122,"Cottage in the City, Subway & Park",2960767,Chris,,Humewood-Cedarvale,43.69535,-79.43518,Entire home/apt,207,28,11,2017-06-14,0.09,1,0,0,
192860,modern clean quiet 2B@ High Park -40% monthly,533496,Eberhard,,Junction Area,43.66492,-79.47384,Entire home/apt,175,30,128,2023-01-10,0.92,2,0,18,STR-2010-FPPDPC
779670,Rosedale Furnished Modern 4 Bed House Prking&Yard,4111007,Stephanie,,Rosedale-Moore Park,43.67716,-79.38653,Entire home/apt,520,28,1,2019-05-10,0.02,1,221,0,
196584,Spacious 1 Bedroom Suite on Subway Line!,957466,Karen,,Oakridge,43.69431,-79.28563,Entire home/apt,88,14,38,2023-03-01,0.48,1,214,12,STR-2012-HLWPHK
207206,Beautiful Newly Renovated 2BDM Home,1019538,Stefan,,Little Portugal,43.6471,-79.4376,Entire home/apt,300,28,22,2023-01-11,0.16,2,363,3,STR-2010-GPKRPG
1289006,"Amazing Central Location, Lake View, Free Parking",7010570,Alan,,Waterfront Communities-The Island,43.63861,-79.38456,Entire home/apt,134,1,294,2020-02-06,2.50,1,24,0,STR-2201-GBHRVD
1289926,Downtown Getaway Suite on Park,6293331,Dionne,,Dovercourt-Wallace Emerson-Junction,43.66295,-79.4234,Private room,120,2,78,2023-01-30,0.98,1,18,14,STR-2207-GCJBHF
788710,Luxury Toronto Apartment,844281,Richard,,High Park-Swansea,43.64366,-79.45216,Entire home/apt,80,30,2,2020-04-14,0.02,1,0,0,
224775,"Location, Location downtown Toronto /  Lower Rate",1170217,Frank,,Church-Yonge Corridor,43.6619,-79.37727,Private room,75,28,33,2022-12-10,0.35,2,202,4,
789266,Walk to Trendy Eateries from a Vibrant Apartment,3921786,Michelle,,Junction Area,43.66682,-79.47394,Entire home/apt,125,28,120,2022-11-20,1.90,1,77,23,STR-2009-JCLXPM
228568,BEST VIEW in the City! Luxury condo,934821,Rob,,Cabbagetown-South St.James Town,43.66593,-79.37655,Entire home/apt,311,7,65,2022-08-07,0.48,2,68,6,STR-2104-FLPKVB
232794,2000 FT 1  Bed.Yorkville next to Four Seasons,1218097,Susan,,Annex,43.6715929,-79.3908687,Entire home/apt,170,28,6,2020-03-18,0.05,1,227,0,
1297164,HOME is TORONTO,5244098,Pablo,,Yonge-St.Clair,43.68857,-79.40087,Private room,60,29,56,2022-04-13,0.48,1,159,1,
1299374,Beaches Butterfly Garden Suite,7065012,Jude,,East End-Danforth,43.67646,-79.30791,Entire home/apt,93,28,62,2019-12-31,0.53,2,61,0,
790887,Yonge & Wellesley Prime Downtown Shared Apartment,2056128,Robert,,Church-Yonge Corridor,43.66414,-79.38351,Private room,169,1,434,2023-03-02,3.66,2,45,69,STR-2204-GLMPHG
1301718,Uber Upper Beach 3 Bedroom Suite,377846,Nick & Nena,,East End-Danforth,43.68516,-79.29243,Entire home/apt,118,28,25,2022-01-31,0.24,11,262,0,
239449,Prime Annex 1 BR +balcony - Work from home!,349772,Steven,,Annex,43.66701,-79.40625,Entire home/apt,74,28,30,2022-10-14,0.25,1,98,3,
248940,Basement Apartment perfect for 3,1304211,Nadia,,Caledonia-Fairbank,43.68238,-79.46038,Entire home/apt,49,28,93,2023-02-01,0.73,1,52,17,STR-2012-GZXRVH
791012,1+ den near CN Tower w/ parking,4167411,Andie,,Waterfront Communities-The Island,43.63923,-79.39358,Entire home/apt,130,28,4,2015-08-16,0.04,1,0,0,
266300,FURNISHED ONE-BDRM TORONTO KING W,1396237,Jonathan,,Niagara,43.63999,-79.41465,Entire home/apt,105,30,5,2019-06-11,0.07,1,0,0,
1326015,Beautiful sun filled Bloordale home,2499198,Melissa,,Dovercourt-Wallace Emerson-Junction,43.66441,-79.45084,Entire home/apt,187,28,22,2018-05-29,0.19,1,104,0,
794506,Beautiful suite in Downtown Toronto,4186011,Oron,,Waterfront Communities-The Island,43.63996,-79.39109,Entire home/apt,221,3,106,2023-02-26,0.99,1,317,47,STR-2011-HZQKVM
269355,Elegant apartment in the heart of Toronto,1411076,Adam,,Casa Loma,43.68419,-79.40125,Entire home/apt,79,28,0,,,1,0,0,
796501,Stunning modern bachelor apartment,4195876,Dale,,Casa Loma,43.68212,-79.40447,Private room,166,28,91,2020-09-07,0.79,2,365,0,
273304,In the heart of Toronto downtown!,1409872,Ravish,,Church-Yonge Corridor,43.6605,-79.38057,Private room,184,28,0,,,1,0,0,
1331304,Need a place?,7221344,Roy,,Woodbine Corridor,43.67462,-79.31267,Private room,463,28,8,2016-09-24,0.07,1,0,0,
818228,Private Room in Downtown Toronto RM2,4297691,Graeme,,Dovercourt-Wallace Emerson-Junction,43.65851,-79.4431,Private room,70,1,426,2023-03-09,3.65,2,319,104,STR-2204-GFYHHF
1335133,Newly reno'd 2-story house in family-friendly hood,613837,Brett,,Old East York,43.69489,-79.33345,Entire home/apt,249,18,19,2023-01-01,0.16,1,117,4,STR-2101-GPBKVG
288341,Beautiful Victorian Home,1368256,Robert,,North St.James Town,43.67098,-79.37434,Entire home/apt,250,4,28,2022-11-07,0.24,1,260,9,STR-2009-GXRRPH
820177,Little Italy 1 Bedroom Apt - Excellent Location!,149566,Vinita + Joe,,Palmerston-Little Italy,43.65555,-79.42017,Entire home/apt,95,28,38,2022-12-31,0.31,2,208,3,
307726,Boutique Chic at Maple Leaf Square,1108156,Karen,,Waterfront Communities-The Island,43.64221,-79.38061,Entire home/apt,85,28,66,2022-05-28,0.49,2,0,2,
1342613,600 sq ft Condo + Office (Spadina & Front),2704043,Matt,,Waterfront Communities-The Island,43.64397,-79.39247,Entire home/apt,80,28,14,2022-10-31,0.15,1,31,5,
1348067,The Great Gerrard - Toronto Suite,377846,Nick & Nena,,East End-Danforth,43.68358,-79.30637,Entire home/apt,79,28,21,2022-06-30,0.18,11,279,1,
822085,Beautiful Deluxe Toronto Home,4316883,Scott,,Rosedale-Moore Park,43.689,-79.37799,Entire home/apt,1021,28,8,2021-08-21,0.08,1,364,0,STR-2206-GTRDVH
314459,Cosy room by Toronto's Danforth Ave,1615944,Julia,,Blake-Jones,43.67739,-79.33599,Private room,31,28,38,2023-01-31,0.29,1,0,1,
325432,"Great 'hood, no car needed, 3.5br",1664812,Mark,,High Park North,43.66106,-79.45605,Entire home/apt,260,28,0,,,1,0,0,
361557,Downtown/Stylish 2 Bdr.   Apt /Garden +Parking,174063,Denis,,South Parkdale,43.63557,-79.43999,Entire home/apt,140,365,67,2022-02-05,0.52,4,363,0,
827774,Beautiful House in Central Toronto,4340437,Ted,,Danforth,43.68255,-79.33506,Private room,85,28,0,,,1,0,0,
361831,Townhome/Condo at The Mona Lisa,1828773,Silvana,,Willowdale East,43.77873,-79.41245,Private room,140,28,0,,,1,0,0,
363057,Charming Century House in Beaches,1816495,Katharine,,The Beaches,43.67262,-79.30057,Entire home/apt,264,1,25,2022-10-03,0.36,3,109,23,STR-2203-GGLHHF
1365638,Luxury Condo@Lakeshore Blvd West,7412574,Abhishek,,Mimico (includes Humber Bay Shores),43.62233,-79.48785,Private room,100,28,44,2022-10-25,0.43,1,179,11,STR-2208-FRFPHC
1369091,New Elegant 1 Bedroom with Lots of Character,7424459,Tonia,,The Beaches,43.66902,-79.30956,Entire home/apt,75,28,64,2022-05-31,0.85,1,72,2,STR-2107-HBCVHJ
833588,Lovely place in prime Yorkville,4361863,Henry,,Annex,43.66943,-79.39085,Entire home/apt,125,28,12,2022-12-14,0.10,1,315,5,
1369606,"Top floor, quiet elegant Victorian",7425753,Martin,,Little Portugal,43.64834,-79.42854,Private room,80,2,165,2023-03-03,1.43,1,117,7,STR-2011-HBJKVJ
